"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 05:52:54,FALSE,,"1588771318123880448",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aelixia",8164,TRUE,FALSE,,
"RT @chrisbrighton10: @Haggis_UK In fairness Chris Philp probably knows more about crime than he knows economics and that didn’t stop Truss…",FALSE,0,,2022-11-05 05:52:53,FALSE,,"1588771313656926208",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gibbsy66",34,TRUE,FALSE,,
"RT @TrichyFilms: #Prince Last day in Trichy

Disaster https://t.co/QAzBHixqkJ",FALSE,0,,2022-11-05 05:52:53,FALSE,,"1588771311631073281",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jishnu_suriya__",54,TRUE,FALSE,,
"svo lists

well, its a disaster but i didn't prep enough so its expected https://t.co/xyXvmIhdIS",FALSE,3,,2022-11-05 05:52:48,FALSE,,"1588771291804622848",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tsuyuSV",0,FALSE,FALSE,,
"RT @JohnHar15896711: How old is Atiku and Bola tinubu Amoda Ogunlere? Ask yourself what magic are they going to perform to change Nigeria f…",FALSE,0,,2022-11-05 05:52:43,FALSE,,"1588771272242384896",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JohnHar15896711",1,TRUE,FALSE,,
"RT @fwtoney: Remember how Trump completely wrecked the economy.  Huge job losses.  Enormous deficit spending and unpaid for tax cuts causin…",FALSE,0,,2022-11-05 05:52:43,FALSE,,"1588771272166887425",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Speakrightous",6,TRUE,FALSE,,
"RT @FearStairLmk: Daniel O’Connell has found himself in an inglorious situation. Once a proud feature in the Georgian landscape, the monume…",FALSE,0,,2022-11-05 05:52:43,FALSE,,"1588771270443040769",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Flyck66",7,TRUE,FALSE,,
"“The mass layoffs at Twitter that diminished several teams, including staff on the company’s safety and misinformat… https://t.co/UZKvhOOGfc",FALSE,3,,2022-11-05 05:52:33,TRUE,,"1588771229972205569",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","raywilton4",3,FALSE,FALSE,,
"RT @hwaupdates: ateez donated 100M won to the hope bridge korea disaster relief association in support of the itaewon tragedy. the donation…",FALSE,0,,2022-11-05 05:52:33,FALSE,,"1588771229582135297",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","painthongjoong",969,TRUE,FALSE,,
"@Rob_Kimbell If you hit your thumb with a hammer would it hurt, yes!
If you dropped a boulder on your foot would th… https://t.co/8MRWZSlizC",FALSE,0,"Rob_Kimbell",2022-11-05 05:52:33,TRUE,"1588604111993606144","1588771228105740288","555370896","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HarryBu20084568",0,FALSE,FALSE,,
